Date,Close,High,Low,Open,Volume
2016-03-31,2100.871826171875,2104.8208333639272,2081.126790211613,2096.9228189798228,107951000
2016-04-01,2100.871826171875,2104.8208333639272,2085.0757974036655,2100.871826171875,73802500
2016-04-04,2104.821044921875,2120.6170752777616,2100.8720373329033,2120.6170752777616,49630500
2016-04-05,2104.821044921875,2124.5660828667333,2100.8720373329033,2104.821044921875,83700500
2016-04-06,2061.381591796875,2120.616695009429,2061.381591796875,2100.8716606052444,89264000
2016-04-07,2069.27978515625,2092.973828497734,2069.27978515625,2085.0758140505723,101318500
2016-04-08,2065.3310546875,2085.0760934512427,2065.3310546875,2069.2800624402485,70473500
2016-04-11,2065.3310546875,2065.3310546875,2065.3310546875,2065.3310546875,0
2016-04-12,2061.381591796875,2073.228612439386,2049.534571154364,2053.4835780352014,56727000
2016-04-13,2061.381591796875,2061.381591796875,2061.381591796875,2061.381591796875,0
2016-04-14,2061.381591796875,2061.381591796875,2061.381591796875,2061.381591796875,0
2016-04-15,2078.10205078125,2078.10205078125,2078.10205078125,2078.10205078125,0
2016-04-18,2078.10205078125,2078.10205078125,2078.10205078125,2078.10205078125,0
2016-04-19,2078.10205078125,2078.10205078125,2078.10205078125,2078.10205078125,0
2016-04-20,2086.06396484375,2094.0260410454434,2070.1398124403627,2074.120850541209,69313000
2016-04-21,2086.06396484375,2090.045002944597,2070.1398124403627,2086.06396484375,62586000
2016-04-22,2090.045166015625,2094.0262044270835,2078.10205078125,2086.064127604167,39264000
2016-04-25,2086.06396484375,2090.045002944597,2058.196698137822,2086.06396484375,62079000
2016-04-26,2062.178466796875,2078.1026248416388,2034.311190218539,2078.1026248416388,129737500
2016-04-27,2078.10205078125,2078.10205078125,2058.1968587239585,2062.177897135417,64185500
2016-04-28,2074.12060546875,2098.0068312514995,2070.139567838292,2090.044755990583,68854000
2016-04-29,2078.10205078125,2090.045166015625,2070.1399739583335,2074.121012369792,61001500
2016-05-02,2086.06396484375,2090.045002944597,2066.1587743395157,2086.06396484375,26048000
2016-05-03,2078.10205078125,2098.007242838542,2074.121012369792,2090.045166015625,82224500
2016-05-04,2086.06396484375,2086.06396484375,2074.120850541209,2078.101888642056,75545000
2016-05-09,2090.045166015625,2101.98828125,2078.10205078125,2086.064127604167,91446000
2016-05-10,2098.00732421875,2117.91251704815,2078.1021313893502,2078.1021313893502,158328000
2016-05-11,2094.0263671875,2117.9125995128325,2086.0642897457224,2094.0263671875,91480000
2016-05-12,2094.0263671875,2101.9884446292776,2086.0642897457224,2086.0642897457224,43259500
2016-05-13,2094.0263671875,2101.9884446292776,2070.140134862167,2070.140134862167,75686000
2016-05-16,2074.12060546875,2086.0637183601248,2062.1774925773752,2086.0637183601248,84077000
2016-05-17,2070.139892578125,2078.1019690880407,2054.215739558293,2074.120930833083,64829000
2016-05-18,2074.12060546875,2078.101643099208,2054.2154173164586,2054.2154173164586,66771000
2016-05-19,2066.158935546875,2074.121012369792,2062.177897135417,2070.1399739583335,105881500
2016-05-20,2074.12060546875,2074.12060546875,2062.1774925773752,2062.1774925773752,68004000
2016-05-23,2086.06396484375,2086.06396484375,2058.196698137822,2070.1398124403627,31748500
2016-05-24,2066.158935546875,2082.0830891927085,2066.158935546875,2078.10205078125,69157000
